stack_name,stack_type,image_url,homepage_url
Camunda,Workflow Manager,https://img.stackshare.io/service/2972/default_3fe62369bb2ed15f4004ace7480d360f495f62f4.png,https://camunda.com/
Sequelize,Object Relational Mapper (ORM),https://img.stackshare.io/service/3211/3591786.png,https://sequelize.org/
GStreamer,Image Processing and Management,https://img.stackshare.io/service/8743/New_Project__6_.jpg,https://gstreamer.freedesktop.org/
k3s,Container Tools,https://img.stackshare.io/service/10432/logo-k3s.png,https://k3s.io/
Spring MVC,Frameworks (Full Stack),https://img.stackshare.io/service/5493/wbCRW-u6_400x400.png,http://spring.io/
Vapor,Frameworks (Full Stack),https://img.stackshare.io/service/4580/vapor.png,https://github.com/qutheory/vapor
Visual Website Optimizer,A/B Testing Analytics,https://img.stackshare.io/service/62/SvqQZhMt.jpeg,http://visualwebsiteoptimizer.com/
Oracle SQL Developer,Database Tools,https://img.stackshare.io/service/101886/default_d4ce80549b365f0079cf507d57bc2c133284fd56.png,https://www.oracle.com/database/sqldeveloper/
Serverless,Serverless / Task Processing,https://img.stackshare.io/service/5095/serverless-logo.png,https://github.com/serverless/serverless
Camunda,Workflow Manager,https://img.stackshare.io/service/2972/default_3fe62369bb2ed15f4004ace7480d360f495f62f4.png,https://camunda.com/
Visual Website Optimizer,A/B Testing Analytics,https://img.stackshare.io/service/62/SvqQZhMt.jpeg,http://visualwebsiteoptimizer.com/
k3s,Container Tools,https://img.stackshare.io/service/10432/logo-k3s.png,https://k3s.io/
GStreamer,Image Processing and Management,https://img.stackshare.io/service/8743/New_Project__6_.jpg,https://gstreamer.freedesktop.org/
Nightwatchjs,Browser Testing,https://img.stackshare.io/service/4125/Ihf7jKaE.png,http://nightwatchjs.org/
Spring MVC,Frameworks (Full Stack),https://img.stackshare.io/service/5493/wbCRW-u6_400x400.png,http://spring.io/
Google Domains,Domain Registration,https://img.stackshare.io/service/2038/PSpUS-Hp_400x400.jpg,https://domains.google/#/
Redash,Business Intelligence,https://img.stackshare.io/service/3033/NdQYl6cB_400x400.png,https://redash.io/
Vapor,Frameworks (Full Stack),https://img.stackshare.io/service/4580/vapor.png,https://github.com/qutheory/vapor
Botpress,Chatbot Platforms & Tools,https://img.stackshare.io/service/6273/default_6a20de793303d3997f1c35ad686f5662561deab6.jpg,https://botpress.io/
R Language,Languages,https://img.stackshare.io/service/1213/r-logo.png,http://www.r-project.org/
Xen,Virtualization Platform,https://img.stackshare.io/service/6610/ff19a6cc679a9d8b6e653feab2013ff4_400x400.jpeg,https://www.xenproject.org/
Benthos,Stream Processing,https://img.stackshare.io/service/48272/default_88c3874064932e57abfa1d52d0ee4b9e82ccc758.jpg,https://www.benthos.dev/
OneSignal,Mobile Push Messaging,https://img.stackshare.io/service/840/mlv-oiNN_400x400.jpg,https://onesignal.com/
Caffe,Machine Learning Tools,https://img.stackshare.io/service/5557/New_Project__83_.png,http://caffe.berkeleyvision.org/
